Year,Yearmon,Deaths
1999,Jan 1999,1368
1999,Feb 1999,1365
1999,Mar 1999,1358
1999,Apr 1999,1480
1999,May 1999,1407
1999,Jun 1999,1361
1999,Jul 1999,1543
1999,Aug 1999,1451
1999,Sep 1999,1313
1999,Oct 1999,1448
1999,Nov 1999,1347
1999,Dec 1999,1408
2000,Jan 2000,1536
2000,Feb 2000,1470
2000,Mar 2000,1517
2000,Apr 2000,1553
2000,May 2000,1620
2000,Jun 2000,1505
2000,Jul 2000,1447
2000,Aug 2000,1436
2000,Sep 2000,1337
2000,Oct 2000,1253
2000,Nov 2000,1327
2000,Dec 2000,1414
2001,Jan 2001,1504
2001,Feb 2001,1352
2001,Mar 2001,1549
2001,Apr 2001,1675
2001,May 2001,1682
2001,Jun 2001,1678
2001,Jul 2001,1844
2001,Aug 2001,1777
2001,Sep 2001,1576
2001,Oct 2001,1606
2001,Nov 2001,1544
2001,Dec 2001,1607
2002,Jan 2002,1976
2002,Feb 2002,1805
2002,Mar 2002,2046
2002,Apr 2002,2011
2002,May 2002,2067
2002,Jun 2002,1921
2002,Jul 2002,2060
2002,Aug 2002,1950
2002,Sep 2002,1794
2002,Oct 2002,1937
2002,Nov 2002,2024
2002,Dec 2002,1927
2003,Jan 2003,2182
2003,Feb 2003,2088
2003,Mar 2003,2241
2003,Apr 2003,2090
2003,May 2003,2325
2003,Jun 2003,2165
2003,Jul 2003,2312
2003,Aug 2003,2144
2003,Sep 2003,1984
2003,Oct 2003,2097
2003,Nov 2003,2025
2003,Dec 2003,2132
2004,Jan 2004,2369
2004,Feb 2004,2244
2004,Mar 2004,2336
2004,Apr 2004,2180
2004,May 2004,2383
2004,Jun 2004,2305
2004,Jul 2004,2397
2004,Aug 2004,2295
2004,Sep 2004,2218
2004,Oct 2004,2264
2004,Nov 2004,2139
2004,Dec 2004,2294
2005,Jan 2005,2507
2005,Feb 2005,2348
2005,Mar 2005,2566
2005,Apr 2005,2484
2005,May 2005,2518
2005,Jun 2005,2386
2005,Jul 2005,2574
2005,Aug 2005,2399
2005,Sep 2005,2426
2005,Oct 2005,2537
2005,Nov 2005,2489
2005,Dec 2005,2579
2006,Jan 2006,2674
2006,Feb 2006,2590
2006,Mar 2006,2852
2006,Apr 2006,2893
2006,May 2006,3007
2006,Jun 2006,2962
2006,Jul 2006,3102
2006,Aug 2006,2949
2006,Sep 2006,2865
2006,Oct 2006,2871
2006,Nov 2006,2823
2006,Dec 2006,2837
2007,Jan 2007,3042
2007,Feb 2007,2887
2007,Mar 2007,3181
2007,Apr 2007,3023
2007,May 2007,2913
2007,Jun 2007,2963
2007,Jul 2007,3023
2007,Aug 2007,3089
2007,Sep 2007,2922
2007,Oct 2007,2917
2007,Nov 2007,2911
2007,Dec 2007,3139
2008,Jan 2008,3082
2008,Feb 2008,3210
2008,Mar 2008,3139
2008,Apr 2008,3065
2008,May 2008,3274
2008,Jun 2008,2920
2008,Jul 2008,2923
2008,Aug 2008,2997
2008,Sep 2008,2905
2008,Oct 2008,2962
2008,Nov 2008,2908
2008,Dec 2008,3065
2009,Jan 2009,3098
2009,Feb 2009,2925
2009,Mar 2009,3240
2009,Apr 2009,3024
2009,May 2009,3213
2009,Jun 2009,2943
2009,Jul 2009,3103
2009,Aug 2009,3156
2009,Sep 2009,3040
2009,Oct 2009,3125
2009,Nov 2009,3020
2009,Dec 2009,3117
2010,Jan 2010,3272
2010,Feb 2010,3081
2010,Mar 2010,3407
2010,Apr 2010,3203
2010,May 2010,3309
2010,Jun 2010,3079
2010,Jul 2010,3191
2010,Aug 2010,3155
2010,Sep 2010,3066
2010,Oct 2010,3180
2010,Nov 2010,3140
2010,Dec 2010,3246
2011,Jan 2011,3479
2011,Feb 2011,3429
2011,Mar 2011,3591
2011,Apr 2011,3483
2011,May 2011,3551
2011,Jun 2011,3244
2011,Jul 2011,3563
2011,Aug 2011,3441
2011,Sep 2011,3323
2011,Oct 2011,3392
2011,Nov 2011,3400
2011,Dec 2011,3444
2012,Jan 2012,3560
2012,Feb 2012,3472
2012,Mar 2012,3568
2012,Apr 2012,3300
2012,May 2012,3437
2012,Jun 2012,3536
2012,Jul 2012,3531
2012,Aug 2012,3555
2012,Sep 2012,3393
2012,Oct 2012,3409
2012,Nov 2012,3272
2012,Dec 2012,3469
2013,Jan 2013,3806
2013,Feb 2013,3538
2013,Mar 2013,3898
2013,Apr 2013,3639
2013,May 2013,3671
2013,Jun 2013,3705
2013,Jul 2013,3680
2013,Aug 2013,3708
2013,Sep 2013,3510
2013,Oct 2013,3520
2013,Nov 2013,3565
2013,Dec 2013,3742
2014,Jan 2014,4026
2014,Feb 2014,3895
2014,Mar 2014,4106
2014,Apr 2014,3733
2014,May 2014,3925
2014,Jun 2014,3783
2014,Jul 2014,3902
2014,Aug 2014,3987
2014,Sep 2014,3748
2014,Oct 2014,4021
2014,Nov 2014,3927
2014,Dec 2014,4002
2015,Jan 2015,4354
2015,Feb 2015,4087
2015,Mar 2015,4583
2015,Apr 2015,4281
2015,May 2015,4462
2015,Jun 2015,4176
2015,Jul 2015,4497
2015,Aug 2015,4492
2015,Sep 2015,4481
2015,Oct 2015,4546
2015,Nov 2015,4199
2015,Dec 2015,4246
2016,Jan 2016,4631
2016,Feb 2016,5022
2016,Mar 2016,5511
2016,Apr 2016,5259
2016,May 2016,5158
2016,Jun 2016,5128
2016,Jul 2016,5592
2016,Aug 2016,5397
2016,Sep 2016,5195
2016,Oct 2016,5446
2016,Nov 2016,5464
2016,Dec 2016,5829
2017,Jan 2017,6233
2017,Feb 2017,5619
2017,Mar 2017,6164
2017,Apr 2017,5886
2017,May 2017,6036
2017,Jun 2017,5884
2017,Jul 2017,5938
2017,Aug 2017,5863
2017,Sep 2017,5786
2017,Oct 2017,5538
2017,Nov 2017,5491
2017,Dec 2017,5799
2018,Jan 2018,5659
2018,Feb 2018,5244
2018,Mar 2018,5793
2018,Apr 2018,5555
2018,May 2018,5773
2018,Jun 2018,5817
2018,Jul 2018,5940
2018,Aug 2018,5836
2018,Sep 2018,5500
2018,Oct 2018,5522
2018,Nov 2018,5177
2018,Dec 2018,5551
2019,Jan 2019,5519
2019,Feb 2019,5180
2019,Mar 2019,5887
2019,Apr 2019,5562
2019,May 2019,5829
2019,Jun 2019,5807
2019,Jul 2019,6162
2019,Aug 2019,6194
2019,Sep 2019,5882
2019,Oct 2019,6133
2019,Nov 2019,6176
2019,Dec 2019,6299
2020,Jan 2020,6531
2020,Feb 2020,6425
2020,Mar 2020,7244
2020,Apr 2020,7920
2020,May 2020,9394
2020,Jun 2020,8168
2020,Jul 2020,8526
2020,Aug 2020,8270
2020,Sep 2020,7491
2020,Oct 2020,7347
2020,Nov 2020,7288
2020,Dec 2020,NA
2021,Jan 2021,NA
2021,Feb 2021,NA
2021,Mar 2021,NA
2021,Apr 2021,NA
2021,May 2021,NA
2021,Jun 2021,NA
